,,REPORTE COTIZACIONES,,,,01/09/2018 - 26/08/2020,,
Instrumento,Fecha,,Precio,Var %,Var Anual %,,TIR %,Mod. Duration (años)
GGAL.O,04/08/2020,,"13,05","-1,66","-0,61",,,
GGAL.O,04/08/2020,,"13,05","-1,66","-0,61",,,
GGAL.O,03/08/2020,,"13,27","10,58","-0,61",,,
GGAL.O,31/07/2020,,"12,00","-0,99","0,00",,,
GGAL.O,30/07/2020,,"12,12","-1,62","-0,67",,,
GGAL.O,29/07/2020,,"12,32","0,82","-0,67",,,
GGAL.O,28/07/2020,,"12,22","0,00","-0,67",,,
GGAL.O,27/07/2020,,"12,77","2,41","-0,66",,,
GGAL.O,24/07/2020,,"12,47","0,00","-0,63",,,
GGAL.O,23/07/2020,,"12,47","1,38","-0,63",,,
GGAL.O,22/07/2020,,"12,30","8,27","-0,60",,,
GGAL.O,21/07/2020,,"11,36","4,32","-0,66",,,
GGAL.O,20/07/2020,,"10,89","-3,03","-0,67",,,
GGAL.O,17/07/2020,,"11,23","-2,43","-0,68",,,
GGAL.O,16/07/2020,,"11,51","-1,46","-0,67",,,
GGAL.O,15/07/2020,,"11,68","3,64","-0,67",,,
GGAL.O,14/07/2020,,"11,27","-0,62","-0,68",,,
GGAL.O,13/07/2020,,"11,34","-0,26","-0,68",,,
GGAL.O,10/07/2020,,"11,37","8,08","-0,70",,,
GGAL.O,09/07/2020,,"10,52","-4,62","-0,72",,,
GGAL.O,08/07/2020,,"11,03","1,29","-0,71",,,
GGAL.O,07/07/2020,,"10,89","-3,80","-0,70",,,
GGAL.O,06/07/2020,,"11,32","22,78","-0,69",,,
GGAL.O,02/07/2020,,"9,22","-5,63","-0,74",,,
GGAL.O,01/07/2020,,"9,77","0,72","-0,73",,,
GGAL.O,30/06/2020,,"9,70","-6,10","-0,70",,,
GGAL.O,29/06/2020,,"10,33","1,18","-0,70",,,
GGAL.O,26/06/2020,,"10,21","-4,31","-0,69",,,
GGAL.O,25/06/2020,,"10,67","6,27","-0,68",,,
GGAL.O,24/06/2020,,"10,04","-1,95","-0,71",,,
GGAL.O,23/06/2020,,"10,24","3,96","-0,70",,,
GGAL.O,22/06/2020,,"9,85","-3,62","-0,71",,,
GGAL.O,19/06/2020,,"10,22","9,54","-0,69",,,
GGAL.O,18/06/2020,,"9,33","-7,26","-0,71",,,
