"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"28.08.2020","10,03","10,01","10,06","10,01","20,04K","1,31%"
"27.08.2020","9,90","10,10","10,16","9,83","585,21K","-1,39%"
"26.08.2020","10,04","10,15","10,36","9,85","923,21K","-1,28%"
"25.08.2020","10,17","10,14","10,24","9,75","1,20M","1,09%"
"24.08.2020","10,06","10,08","10,09","9,68","1,31M","-0,49%"
"21.08.2020","10,11","10,25","10,52","9,86","1,51M","-1,37%"
"20.08.2020","10,25","10,23","10,42","10,11","1,47M","-1,16%"
"19.08.2020","10,37","10,66","10,93","10,14","1,26M","-2,72%"
"18.08.2020","10,66","10,83","11,04","10,56","1,01M","-1,20%"
"17.08.2020","10,79","11,39","11,39","10,72","1,03M","-5,10%"
"14.08.2020","11,37","11,63","11,63","11,25","622,10K","-1,39%"
"13.08.2020","11,53","11,33","11,97","11,29","916,29K","0,61%"
"12.08.2020","11,46","12,10","12,10","11,22","1,76M","-3,37%"
"11.08.2020","11,86","12,61","12,61","11,82","1,35M","-4,66%"
"10.08.2020","12,44","12,61","13,22","12,37","814,74K","-3,19%"
"07.08.2020","12,85","12,75","12,86","12,37","968,29K","1,26%"
"06.08.2020","12,69","12,57","12,75","12,28","1,11M","0,32%"
"05.08.2020","12,65","13,30","13,72","12,57","1,84M","-3,07%"
"04.08.2020","13,05","14,65","14,94","12,85","5,40M","-1,66%"
"03.08.2020","13,27","11,41","13,74","11,40","3,16M","10,58%"
"31.07.2020","12,00","12,14","12,26","11,85","745,45K","-0,99%"
"30.07.2020","12,12","12,05","12,15","11,58","1,21M","-1,62%"
"29.07.2020","12,32","12,34","12,58","12,06","669,24K","0,82%"
"28.07.2020","12,22","12,66","12,83","12,17","985,06K","-4,31%"
"27.07.2020","12,77","12,32","13,17","12,27","1,18M","2,41%"
"24.07.2020","12,47","12,50","13,00","12,27","1,36M","0,00%"
"23.07.2020","12,47","12,40","13,00","12,05","2,05M","1,38%"
"22.07.2020","12,30","11,38","12,38","11,13","1,76M","8,27%"
"21.07.2020","11,36","10,83","11,69","10,77","2,41M","4,32%"
"20.07.2020","10,89","11,07","11,38","10,81","1,12M","-3,03%"
"17.07.2020","11,23","11,48","11,61","11,00","1,34M","-2,43%"
"16.07.2020","11,51","11,47","11,66","11,26","634,38K","-1,46%"
"15.07.2020","11,68","11,62","11,74","11,43","1,27M","3,64%"
"14.07.2020","11,27","11,29","11,29","10,92","1,50M","-0,62%"
"13.07.2020","11,34","11,71","12,12","11,33","2,71M","-0,26%"
"10.07.2020","11,37","10,67","11,49","10,50","1,29M","8,08%"
"09.07.2020","10,52","11,00","11,00","10,48","843,90K","-4,62%"
"08.07.2020","11,03","10,85","11,12","10,77","989,67K","1,29%"
"07.07.2020","10,89","11,17","11,17","10,66","2,27M","-3,80%"
"06.07.2020","11,32","10,41","11,41","9,81","3,87M","22,78%"
"02.07.2020","9,22","9,97","10,06","9,22","1,91M","-5,63%"
"01.07.2020","9,77","9,63","9,96","9,53","969,98K","0,72%"
"30.06.2020","9,70","10,30","10,54","9,53","1,67M","-6,10%"
"29.06.2020","10,33","10,40","10,55","10,17","889,78K","1,18%"
"26.06.2020","10,21","10,75","10,77","10,17","917,38K","-4,31%"
"25.06.2020","10,67","10,09","10,89","9,93","1,65M","6,27%"
"24.06.2020","10,04","10,35","10,56","9,98","1,76M","-1,95%"
"23.06.2020","10,24","10,00","10,64","9,93","1,51M","3,96%"
"22.06.2020","9,85","10,19","10,38","9,57","1,57M","-3,62%"
"19.06.2020","10,22","9,59","10,28","9,46","3,03M","9,54%"
"18.06.2020","9,33","9,46","9,84","9,31","2,35M","-7,26%"
"17.06.2020","10,06","10,37","10,54","10,05","1,43M","-3,18%"
"16.06.2020","10,39","10,92","10,99","10,31","1,40M","-0,38%"
"15.06.2020","10,43","10,22","10,50","10,16","965,60K","-2,98%"
